master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
svam_001_023,SVAM,001/023,ポケモン,草,キノココ,-,G,False
svam_002_023,SVAM,002/023,ポケモン,草,キノガッサ,-,G,False
svam_003_023,SVAM,003/023,ポケモン,草,トロピウス,-,G,False
svam_004_023,SVAM,004/023,ポケモン,草,ニャオハ,-,G,False
svam_004_023_m,SVAM,004/023,ポケモン,草,ニャオハ,-,G,True
svam_005_023,SVAM,005/023,ポケモン,草,ニャローテ,-,G,False
svam_005_023_m,SVAM,005/023,ポケモン,草,ニャローテ,-,G,True
svam_006_023,SVAM,006/023,ポケモン,草,マスカーニャ,-,G,False
svam_006_023_m,SVAM,006/023,ポケモン,草,マスカーニャ,-,G,True
svam_007_023,SVAM,007/023,ポケモン,草,タマンチュラ,-,G,False
svam_008_023,SVAM,008/023,ポケモン,闘,リオル,-,G,False
svam_009_023,SVAM,009/023,ポケモン,闘,ルカリオex,-,G,False
svam_010_023,SVAM,010/023,ポケモン,草,イシヘンジン,-,G,False
svam_011_023,SVAM,011/023,ポケモン,闘,グルトン,-,G,False
svam_012_023,SVAM,012/023,トレーナーズ,グッズ,エネルギーつけかえ,-,G,False
svam_013_023,SVAM,013/023,トレーナーズ,グッズ,エネルギー転送,-,G,False
svam_014_023,SVAM,014/023,トレーナーズ,グッズ,きずぐすり,-,G,False
svam_015_023,SVAM,015/023,トレーナーズ,グッズ,ネストボール,-,G,False
svam_016_023,SVAM,016/023,トレーナーズ,グッズ,ハイパーボール,-,G,False
svam_017_023,SVAM,017/023,トレーナーズ,グッズ,ポケギア3.0,-,G,False
svam_018_023,SVAM,018/023,トレーナーズ,グッズ,ポケモンいれかえ,-,G,False
svam_019_023,SVAM,019/023,トレーナーズ,グッズ,ポケモンキャッチャー,-,G,False
svam_020_023,SVAM,020/023,トレーナーズ,サポート,ジャッジマン,-,G,False
svam_021_023,SVAM,021/023,トレーナーズ,サポート,たんぱんこぞう,-,G,False
svam_022_023,SVAM,022/023,トレーナーズ,サポート,ネモ,-,G,False
svam_023_023,SVAM,023/023,トレーナーズ,サポート,博士の研究（オーリム博士）,-,G,False
svam_GRA,SVAM,GRA,エネルギー,草,基本草エネルギー,-,-,False
svam_FIG,SVAM,FIG,エネルギー,闘,基本闘エネルギー,-,-,False
